id,acc,pre,rec,f1s,iou
138,0.870921,0.911504,0.780303,0.840816,0.725352
139,0.868300,0.652299,0.957806,0.776068,0.634078
140,0.994024,0.979167,1.000000,0.989474,0.979167
141,0.980009,0.966418,0.977358,0.971857,0.945255
142,0.882679,0.843049,0.828194,0.835556,0.717557
143,0.964286,1.000000,0.928571,0.962963,0.928571
144,0.975219,0.973684,0.970845,0.972263,0.946023
145,0.929280,0.888889,0.916031,0.902256,0.821918
146,0.938709,0.950000,0.925641,0.937662,0.882641
147,0.945696,0.890351,0.935484,0.912360,0.838843
148,0.671656,0.569801,0.657895,0.610687,0.439560
149,0.938469,0.813008,0.956938,0.879121,0.784314
150,0.945167,0.848249,0.960352,0.900826,0.819549
151,0.537315,0.388889,0.325581,0.354430,0.215385
152,0.857143,0.851852,0.821429,0.836364,0.718750
153,0.963855,0.892720,0.978992,0.933868,0.875940
154,0.930201,0.900000,0.921502,0.910624,0.835913
155,0.914814,0.836565,0.955696,0.892171,0.805333
156,0.944530,0.832669,0.963134,0.893162,0.806950
157,0.637531,0.474453,0.391566,0.429043,0.273109
158,0.987850,0.950382,1.000000,0.974560,0.950382
159,0.771413,0.769231,0.597826,0.672783,0.506912
160,0.971963,1.000000,0.943925,0.971154,0.943925
161,0.837625,0.804487,0.804487,0.804487,0.672922
162,0.898275,0.832727,0.884170,0.857678,0.750820
163,0.944328,0.924303,0.924303,0.924303,0.859259
164,0.972561,1.000000,0.945122,0.971787,0.945122
165,0.964324,0.935115,0.960784,0.947776,0.900735
166,0.960830,0.976744,0.933333,0.954545,0.913043
167,0.877758,0.856369,0.880223,0.868132,0.766990
168,0.902408,0.934783,0.833333,0.881148,0.787546
169,0.971329,0.934783,0.977273,0.955556,0.914894
170,0.994163,0.978261,1.000000,0.989011,0.978261
171,0.965240,0.947368,0.974359,0.960674,0.924324
172,1.000000,1.000000,1.000000,1.000000,1.000000
173,0.924750,0.923077,0.925450,0.924262,0.859189
174,0.884008,0.809365,0.880000,0.843206,0.728916
175,0.950850,0.958333,0.915423,0.936387,0.880383
176,0.990706,1.000000,0.981413,0.990619,0.981413
177,0.965254,0.973529,0.951149,0.962209,0.927171
178,0.952489,1.000000,0.904977,0.950119,0.904977
179,0.666667,0.559028,0.583333,0.570922,0.399504
180,0.826211,0.935345,0.684543,0.790528,0.653614
181,0.949592,0.987552,0.904943,0.944444,0.894737
182,0.595238,0.950000,0.193878,0.322034,0.191919
183,0.956446,1.000000,0.912892,0.954463,0.912892
184,0.976923,0.916667,1.000000,0.956522,0.916667
185,0.962007,0.952703,0.952703,0.952703,0.909677
186,0.952991,1.000000,0.905983,0.950673,0.905983
187,0.777620,0.633333,0.845890,0.724340,0.567816
188,0.880952,0.861111,0.843537,0.852234,0.742515
189,0.912788,0.909091,0.872727,0.890538,0.802676
190,0.964912,0.952381,0.952381,0.952381,0.909091
191,0.989735,0.995238,0.981221,0.988180,0.976636
192,0.846682,0.750000,0.830769,0.788321,0.650602
193,0.966771,0.957447,0.957447,0.957447,0.918367
194,0.695443,0.697917,0.587719,0.638095,0.468531
195,0.988964,0.937500,1.000000,0.967742,0.937500
196,0.840726,0.928571,0.728291,0.816327,0.689655
197,0.976364,1.000000,0.952727,0.975791,0.952727
198,0.951725,0.963768,0.923611,0.943262,0.892617
199,0.963593,0.952727,0.952727,0.952727,0.909722
200,0.862810,0.869565,0.800000,0.833333,0.714286
201,0.912257,0.654867,0.948718,0.774869,0.632479
202,0.897319,0.888889,0.848485,0.868217,0.767123
203,0.947756,0.956522,0.916667,0.936170,0.880000
204,0.939401,0.912698,0.920000,0.916335,0.845588
205,0.749041,0.548476,0.801619,0.651316,0.482927
